id|device_id|created_at|published_at_utc|float_value|int_value|str_value|event_name
16377|e00fce685f262f4ea1486367|2022-12-15 04:30:09.872958+00|2022-12-15 04:30:09.837+00|66.199997|||temp
16378|250019001247343339383037|2022-12-15 04:32:44.540642+00|2022-12-15 04:32:44.517+00|83.718687|||tempA0
16379|250019001247343339383037|2022-12-15 04:32:44.765511+00|2022-12-15 04:32:44.742+00|85.169236|||tempA4
16380|250019001247343339383037|2022-12-15 04:32:44.77405+00|2022-12-15 04:32:44.742+00||4||wifi
16381|e00fce685f262f4ea1486367|2022-12-15 04:35:09.832602+00|2022-12-15 04:35:09.805+00|66.199997|||temp
16382|250019001247343339383037|2022-12-15 04:37:44.55721+00|2022-12-15 04:37:44.53+00|82.848353|||tempA0
16383|250019001247343339383037|2022-12-15 04:37:44.677334+00|2022-12-15 04:37:44.656+00||4||wifi
16384|250019001247343339383037|2022-12-15 04:37:44.68114+00|2022-12-15 04:37:44.656+00|84.443956|||tempA4
16385|e00fce685f262f4ea1486367|2022-12-15 04:40:09.95657+00|2022-12-15 04:40:09.934+00|66.199997|||temp
16386|250019001247343339383037|2022-12-15 04:42:44.543882+00|2022-12-15 04:42:44.521+00|82.848353|||tempA0
16387|250019001247343339383037|2022-12-15 04:42:44.698516+00|2022-12-15 04:42:44.677+00||4||wifi
16388|250019001247343339383037|2022-12-15 04:42:44.701006+00|2022-12-15 04:42:44.677+00|83.573633|||tempA4
16389|e00fce685f262f4ea1486367|2022-12-15 04:45:09.955746+00|2022-12-15 04:45:09.919+00|66.199997|||temp
16390|250019001247343339383037|2022-12-15 04:47:44.627917+00|2022-12-15 04:47:44.513+00|82.993407|||tempA0
16391|250019001247343339383037|2022-12-15 04:47:44.709183+00|2022-12-15 04:47:44.691+00|84.443956|||tempA4
16392|250019001247343339383037|2022-12-15 04:47:44.711603+00|2022-12-15 04:47:44.691+00||4||wifi
16393|e00fce685f262f4ea1486367|2022-12-15 04:50:09.901505+00|2022-12-15 04:50:09.877+00|66.199997|||temp
16394|250019001247343339383037|2022-12-15 04:52:44.533191+00|2022-12-15 04:52:44.512+00|82.848353|||tempA0
16395|250019001247343339383037|2022-12-15 04:52:44.680091+00|2022-12-15 04:52:44.664+00|84.734064|||tempA4
16396|250019001247343339383037|2022-12-15 04:52:44.682415+00|2022-12-15 04:52:44.664+00||4||wifi
16397|e00fce685f262f4ea1486367|2022-12-15 04:55:10.037516+00|2022-12-15 04:55:10.011+00|66.199997|||temp
16398|250019001247343339383037|2022-12-15 04:57:44.542374+00|2022-12-15 04:57:44.518+00|82.558234|||tempA0
16399|250019001247343339383037|2022-12-15 04:57:44.722105+00|2022-12-15 04:57:44.705+00|84.734064|||tempA4
16400|250019001247343339383037|2022-12-15 04:57:44.725523+00|2022-12-15 04:57:44.705+00||4||wifi
16401|e00fce685f262f4ea1486367|2022-12-15 05:00:10.093044+00|2022-12-15 05:00:10.063+00|66.199997|||temp
16402|250019001247343339383037|2022-12-15 05:02:44.537975+00|2022-12-15 05:02:44.51+00|84.008784|||tempA0
16403|250019001247343339383037|2022-12-15 05:02:44.760857+00|2022-12-15 05:02:44.744+00|84.443956|||tempA4
16404|250019001247343339383037|2022-12-15 05:02:44.768286+00|2022-12-15 05:02:44.744+00||4||wifi
16405|e00fce685f262f4ea1486367|2022-12-15 05:05:10.044172+00|2022-12-15 05:05:10.016+00|66.199997|||temp
16406|250019001247343339383037|2022-12-15 05:07:44.558285+00|2022-12-15 05:07:44.532+00|83.573633|||tempA0
16407|250019001247343339383037|2022-12-15 05:07:44.729038+00|2022-12-15 05:07:44.712+00|84.008784|||tempA4
16408|250019001247343339383037|2022-12-15 05:07:44.731254+00|2022-12-15 05:07:44.712+00||4||wifi
16409|e00fce685f262f4ea1486367|2022-12-15 05:10:10.040865+00|2022-12-15 05:10:10.017+00|66.199997|||temp
16410|250019001247343339383037|2022-12-15 05:12:44.593465+00|2022-12-15 05:12:44.571+00|85.024182|||tempA0
16411|250019001247343339383037|2022-12-15 05:12:44.754465+00|2022-12-15 05:12:44.734+00|83.283514|||tempA4
16412|250019001247343339383037|2022-12-15 05:12:44.75754+00|2022-12-15 05:12:44.734+00||4||wifi
16413|e00fce685f262f4ea1486367|2022-12-15 05:15:10.145764+00|2022-12-15 05:15:10.045+00|66.199997|||temp
16414|250019001247343339383037|2022-12-15 05:17:44.608459+00|2022-12-15 05:17:44.576+00|84.153848|||tempA0
16415|250019001247343339383037|2022-12-15 05:17:44.810871+00|2022-12-15 05:17:44.792+00|82.848353|||tempA4
16416|250019001247343339383037|2022-12-15 05:17:44.8123+00|2022-12-15 05:17:44.793+00||4||wifi
